member_casual,month_number,month_name,total_rides,average_ride_minutes,median_ride_minutes
casual,1,January,23405,11.97,7.13
member,1,January,112331,9.97,6.87
casual,2,February,27003,12.37,7.37
member,2,February,122097,9.95,7.0
casual,3,March,82864,17.88,10.57
member,3,March,208458,11.12,7.88
casual,4,April,105260,18.65,10.7
member,4,April,257921,11.27,8.07
casual,5,May,175655,20.82,12.25
member,5,May,313996,11.89,8.72
casual,6,June,278702,21.9,13.37
member,6,June,379523,12.84,9.57
casual,7,July,308446,21.43,12.98
member,7,July,430394,13.15,9.55
casual,8,August,323533,21.7,13.43
member,8,August,443130,13.07,9.65
casual,9,September,254727,19.54,11.95
member,9,September,440954,12.61,9.28
casual,10,October,214380,18.09,10.7
member,10,October,414094,12.11,8.55
casual,11,November,94719,15.46,8.95
member,11,November,251924,11.68,7.9
casual,12,December,27075,12.82,7.67
member,12,December,109364,11.67,7.48
